name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Kuala Lumpur,2024-08-01T00:00:00,82,88.7,75.2,80,0,0,,0,0,6.3,2,0,1012.9,27.5,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
Kuala Lumpur,2024-08-01T01:00:00,82,88.7,75.2,80,0,0,,0,0,5.4,1.1,75.4,1012.9,27.5,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
Kuala Lumpur,2024-08-01T02:00:00,81.7,87.3,73.7,76.89,0,0,,0,0,4.9,2,97,1012,57.3,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
Kuala Lumpur,2024-08-01T03:00:00,80.4,85.1,73.6,79.88,0,0,,0,0,6.9,1.4,91.5,1011,27.5,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
Kuala Lumpur,2024-08-01T04:00:00,80.4,85.1,73.6,79.88,0,0,,0,0,6.3,2.2,76.5,1011,27.5,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
Kuala Lumpur,2024-08-01T05:00:00,78.5,78.5,73.5,84.74,0,0,,0,0,6.3,2.1,76.8,1010.9,25,6.1,0,0,0,,Partially cloudy,partly-cloudy-night,"WMSA,WMKK"
Kuala Lumpur,2024-08-01T06:00:00,78.8,78.8,73.6,84.16,0,0,,0,0,7.2,1.4,130,1010.9,27.5,6.1,0,0,0,,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
Kuala Lumpur,2024-08-01T07:00:00,78.8,78.8,73.6,84.16,0,0,,0,0,8.1,2.2,94.3,1010.9,27.5,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
Kuala Lumpur,2024-08-01T08:00:00,78.9,78.9,73.9,84.64,0.026,100,rain,0,0,9.4,0.3,16,1011.4,57.3,6.5,38,0.1,0,,"Rain, Partially cloudy",rain,"48647099999,48650099999,WMSA,WMKK"
Kuala Lumpur,2024-08-01T09:00:00,82.4,88.5,73.8,75.35,0,0,,0,0,9.6,3.5,139,1012,27.5,6.2,219.5,0.8,2,,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Kuala Lumpur,2024-08-01T10:00:00,87.6,96,73.8,63.8,0,0,,0,0,13.6,4.8,140,1012.9,27.5,6.2,448.1,1.6,4,,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Kuala Lumpur,2024-08-01T11:00:00,89.5,96.7,72,56.59,0,0,,0,0,18.1,7.8,131,1012.9,57.3,6.8,559.3,2,6,,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
